Temp,Light,Sound,PIR,Day_Period,S5_CO2,S5_CO2_Slope,Room_Occupancy_Count
24.9075,62.0,0.0975,0,0,390,0.769230769231,1
24.9225,61.75,0.275,0,0,390,0.646153846154,1
24.9225,62.0,0.1699999999999999,0,0,390,0.519230769231,1
24.9375,62.0,0.175,0,0,390,0.388461538462,1
24.9375,62.25,0.09,0,0,390,0.253846153846,1
24.9525,62.25,0.08,0,0,390,0.165384615385,1
24.9375,62.0,0.55,1,0,390,0.0769230769231,1
24.9525,62.5,0.0725,0,0,390,-0.0115384615385,1
24.9675,64.0,0.0825,0,0,390,-0.1,1
24.9675,58.75,1.3374999999999997,1,0,390,-0.188461538462,1
24.9675,64.25,0.7625000000000001,1,0,390,-0.276923076923,1
24.9825,64.75,0.195,1,0,390,-0.365384615385,1
25.0175,64.5,0.1225,1,0,390,-0.453846153846,1
25.015,64.75,0.5199999999999999,1,0,390,-0.542307692308,1
25.0325,65.0,0.27,1,0,390,-0.630769230769,1
25.0325,65.0,0.13,1,0,390,-0.719230769231,1
25.0325,64.75,0.11,0,0,395,-0.711538461538,1
25.015,64.5,0.11,1,0,395,-0.653846153846,1
25.015,65.0,0.11,1,0,395,-0.542307692308,1
25.0175,65.25,0.0775,0,0,395,-0.373076923077,1
25.035,65.0,0.0725,0,0,390,-0.238461538462,1
25.0325,64.75,0.08,0,0,395,-0.0923076923077,1
25.05,65.25,0.07,0,0,395,0.0615384615385,1
25.05,65.25,0.3950000000000001,0,0,400,0.319230769231,1
25.035,65.75,0.0875,0,0,400,0.334615384615,1
25.05,65.25,0.4650000000000001,1,0,400,0.388461538462,1
25.05,65.25,0.16,1,0,405,0.480769230769,1
25.065,65.0,0.2075,1,0,410,0.607692307692,1
25.065,65.0,0.2075,1,0,410,0.719230769231,1
25.065,65.25,0.3949999999999999,1,0,405,0.769230769231,1
25.08,65.0,0.1425,0,0,405,0.807692307692,1
25.08,65.25,0.0725,0,0,400,0.788461538462,1
25.08,65.0,0.0725,1,0,410,0.853846153846,1
25.08,65.0,0.19,0,0,410,0.903846153846,1
25.1125,65.0,0.065,0,0,405,0.892307692308,1
25.0975,64.75,0.295,0,0,410,0.915384615385,1
25.0975,64.75,0.1075,0,0,410,0.923076923077,1
25.095,65.0,0.0575,0,0,415,0.961538461538,1
25.08,65.0,0.06,0,0,420,1.02692307692,1
25.095,64.5,0.0625,0,0,425,1.11538461538,1
25.11,64.75,0.3925,0,0,425,1.17692307692,1
25.1125,65.5,0.155,0,0,420,1.21538461538,1
25.1275,65.75,0.0825,0,0,420,1.23461538462,1
25.1125,65.5,0.235,1,0,420,1.23461538462,1
25.0975,65.5,0.215,0,0,420,1.21538461538,1
25.1275,66.25,0.085,0,0,425,1.17307692308,1
